Year,Month,Sector,Issued,Refused,Withdrawn,Prefix
2010,Jul,Domestic,8.0,2.0,2.0,
2010,Jul,Education,20.0,5.0,0.0,
2010,Jul,Entertainment,5.0,0.0,0.0,
2010,Jul,Industry,94.0,11.0,2.0,
2010,Jul,Medical & Nursing,238.0,22.0,5.0,
2010,Jul,Service Industry,346.0,74.0,6.0,
2010,Jul,Sport,5.0,1.0,0.0,
2010,Aug,Agriculture & Fisheries,53.0,2.0,0.0,
2010,Aug,Catering,102.0,41.0,6.0,
2010,Aug,Domestic,4.0,1.0,0.0,
2010,Aug,Education,18.0,0.0,0.0,
2010,Aug,Entertainment,1.0,2.0,0.0,
2010,Aug,Industry,53.0,6.0,1.0,
2010,Aug,Medical & Nursing,117.0,21.0,2.0,
2010,Aug,Service Industry,226.0,34.0,6.0,
2010,Aug,Sport,6.0,1.0,0.0,
2010,Sept,Agriculture & Fisheries,32.0,2.0,0.0,
2010,Sept,Catering,157.0,83.0,2.0,
2010,Sept,Domestic,7.0,3.0,0.0,
2010,Sept,Education,14.0,3.0,1.0,
2010,Sept,Entertainment,5.0,1.0,0.0,
2010,Sept,Industry,58.0,8.0,4.0,
2010,Sept,Medical & Nursing,162.0,20.0,2.0,
2010,Sept,Service Industry,373.0,67.0,6.0,
2010,Sept,Sport,13.0,3.0,0.0,
2010,Oct,Agriculture & Fisheries,19.0,5.0,0.0,
2010,Oct,Catering,125.0,46.0,2.0,
2010,Oct,Domestic,5.0,4.0,1.0,
2010,Oct,Education,10.0,4.0,0.0,
2010,Oct,Entertainment,3.0,0.0,0.0,
2010,Oct,Industry,49.0,10.0,1.0,
2010,Oct,Medical & Nursing,174.0,13.0,0.0,
2010,Oct,Service Industry,278.0,50.0,9.0,
2010,Oct,Sport,3.0,0.0,1.0,
2010,Nov,Agriculture & Fisheries,14.0,1.0,1.0,
2010,Nov,Catering,68.0,11.0,2.0,
2010,Nov,Domestic,9.0,0.0,0.0,
2010,Nov,Education,3.0,2.0,0.0,
2010,Nov,Entertainment,4.0,1.0,0.0,
2010,Nov,Industry,25.0,5.0,2.0,
2010,Nov,Medical & Nursing,67.0,3.0,2.0,
2010,Nov,Service Industry,112.0,19.0,3.0,
2010,Nov,Sport,2.0,0.0,0.0,
2010,Dec,Agriculture & Fisheries,8.0,1.0,0.0,
2010,Dec,Catering,27.0,4.0,0.0,
2010,Dec,Domestic,2.0,0.0,0.0,
2010,Dec,Education,7.0,1.0,0.0,
2010,Dec,Entertainment,1.0,0.0,0.0,
2010,Dec,Exchange Agreements,2.0,0.0,0.0,
2010,Dec,Industry,31.0,4.0,1.0,
2010,Dec,Medical & Nursing,45.0,8.0,1.0,
2010,Dec,Service Industry,118.0,7.0,2.0,
2011,Jan,Agriculture & Fisheries,6.0,4.0,0.0,
2011,Jan,Catering,47.0,6.0,2.0,
2011,Jan,Domestic,7.0,0.0,0.0,
2011,Jan,Education,6.0,0.0,0.0,
2011,Jan,Entertainment,3.0,2.0,0.0,
2011,Jan,Industry,43.0,4.0,0.0,
2011,Jan,Medical & Nursing,78.0,2.0,2.0,
2011,Jan,Service Industry,138.0,17.0,4.0,
2011,Jan,Sport,4.0,1.0,0.0,
2011,Feb,Agriculture & Fisheries,9.0,3.0,0.0,
2011,Feb,Catering,36.0,4.0,2.0,
2011,Feb,Domestic,4.0,1.0,0.0,
2011,Feb,Education,4.0,1.0,0.0,
2011,Feb,Exchange Agreements,1.0,0.0,0.0,
2011,Feb,Industry,29.0,5.0,0.0,
2011,Feb,Medical & Nursing,101.0,4.0,1.0,
2011,Feb,Service Industry,153.0,17.0,4.0,
2011,Feb,Sport,1.0,0.0,0.0,
2011,Mar,Agriculture & Fisheries,40.0,9.0,0.0,
2011,Mar,Catering,58.0,12.0,2.0,
2011,Mar,Domestic,6.0,1.0,0.0,
2011,Mar,Education,8.0,3.0,0.0,
2011,Mar,Entertainment,1.0,0.0,0.0,
2011,Mar,Industry,48.0,13.0,3.0,
2011,Mar,Medical & Nursing,130.0,10.0,6.0,
2011,Mar,Service Industry,203.0,31.0,7.0,
2011,Mar,Sport,4.0,0.0,0.0,
2011,Apr,Agriculture & Fisheries,13.0,6.0,0.0,
2011,Apr,Catering,55.0,14.0,2.0,
2011,Apr,Domestic,3.0,1.0,0.0,
2011,Apr,Education,6.0,0.0,0.0,
2011,Apr,Entertainment,3.0,2.0,0.0,
2011,Apr,Exchange Agreements,1.0,0.0,0.0,
2011,Apr,Industry,49.0,3.0,2.0,
2011,Apr,Medical & Nursing,95.0,7.0,1.0,
2011,Apr,Service Industry,193.0,34.0,8.0,
2011,Apr,Sport,6.0,1.0,1.0,
2011,May,Agriculture & Fisheries,33.0,6.0,2.0,
2011,May,Catering,85.0,39.0,6.0,
2011,May,Domestic,13.0,2.0,0.0,
2011,May,Education,16.0,2.0,0.0,
2011,May,Entertainment,2.0,1.0,0.0,
2011,May,Exchange Agreements,9.0,0.0,0.0,
2011,May,Industry,61.0,6.0,1.0,
2011,May,Medical & Nursing,209.0,24.0,13.0,
2011,May,Service Industry,315.0,44.0,5.0,
2011,May,Sport,7.0,2.0,0.0,
2011,Jun,Agriculture & Fisheries,26.0,13.0,0.0,
2011,Jun,Catering,65.0,33.0,4.0,
2011,Jun,Domestic,6.0,3.0,0.0,
2011,Jun,Education,6.0,1.0,0.0,
2011,Jun,Industry,91.0,12.0,2.0,
2011,Jun,Medical & Nursing,156.0,22.0,19.0,
2011,Jun,Service Industry,279.0,45.0,13.0,
2011,Jun,Sport,10.0,0.0,0.0,
