Year,Company,Total
2009,AWN Consulting Limited,1
2009,Axa Global Distributors (Ireland) Limited,3
2009,Axa MPS Financial Ltd,1
2009,A&A Cronin Movers Limited MMI Engineering,1
2009,A.C. Manufacturing Ltd,3
2009,B & C Audio Visual Ltd t/a Bang & Olufsen,2
2009,B & V Nurseries Ltd,1
2009,BA Tallaght Limited t/a Super Valu,1
2009,Baan Siam Cuisine Ltd,2
2009,Baan Thai Cuisine Ltd.,1
2009,Babcock & Brown Air Management Co Limited,1
2009,Bahay Kubo LTD T/A Bahay Kubo Resteraunt,2
2009,Bailey Seafoods Ltd T/A Aqua Restaurant,4
2009,Balfour Beatty Group Ltd t/a Balfour Beatty Ireland,9
2009,Ballyfermot Home Help Services Ltd,1
2009,Ballyowen Meadows Special School,1
2009,Bandhit Solutions t/a Loadzarooms,2
2009,"Bank of America, N.A.",1
2009,Bank of Ireland-IT Solutions,1
2009,Bank of Ireland Asset Management,1
2009,Bank of Ireland Governor and Co t/a Bank of Ireland Global Markets,1
2009,Bank Of Ireland Head Office,4
2009,Bank Of Ireland Securities Ltd.  ,1
2009,Bank of Ireland (St. Stephens Green),1
2009,Banking Transformation Ltd,2
2009,Bantry Technologies Limited,2
2009,Barlan Technologies Ltd,1
2009,Barry McNerney & Paul McNerney t/a Juniors Cafe Deli,1
2009,Basil Conroy & Company Limited,1
2009,Batchelors Ltd,1
2009,Baxter Healthcare S.A.,2
2009,Baxter Shared Services Competencies Ltd,1
2009,Bayshaw Ltd,1
2009,BDF Commercials Ltd,1
2009,BDO Simpson Xavier,1
2009,Bearingpoint Ireland Limited,1
2009,Beaufields Mews Restaurant.,1
2009,Beaumont Chinese Take Away,1
2009,Beaumont Convalescent Home,2
2009,Beaumont Hospital,74
2009,Becton Dickinson and Co Ltd,3
2009,Beechtree Healthcare Limited,11
2009,BEI Ltd t/a Hicken Lighting,1
2009,Belmont Care Ltd,8
